Obs,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,job_type,salary
119,0.37,0.57,2,133,3,0,1,0,technica,low
121,0.14,0.62,4,158,4,1,1,0,technica,low
126,0.11,0.92,6,260,4,0,1,0,support,low
127,0.38,0.49,2,132,3,0,1,0,support,low
128,0.7,0.89,3,183,5,0,1,0,support,low
130,0.37,0.45,2,151,3,0,1,0,support,low
137,0.1,0.84,6,283,4,1,1,0,technica,low
138,0.42,0.48,2,129,3,0,1,0,manageme,low
139,0.74,1,4,249,5,0,1,0,IT,low
142,0.45,0.53,2,155,3,0,1,0,IT,low
143,0.11,0.8,6,256,4,0,1,0,IT,low
144,0.37,0.47,2,152,3,0,1,0,product_,low
147,0.76,0.92,4,239,5,0,1,0,product_,low
150,0.39,0.5,2,147,3,0,1,0,marketin,low
152,0.45,0.56,2,154,3,0,1,0,marketin,low
154,0.4,0.52,2,155,3,0,1,0,marketin,low
155,0.39,0.48,2,160,3,0,1,0,sales,low
165,0.9,0.99,5,260,5,0,1,0,sales,low
171,0.81,0.99,4,259,5,0,1,0,sales,low
174,0.1,0.88,6,284,4,0,1,0,sales,low
175,0.7,0.53,2,274,4,0,1,0,sales,low
178,0.38,0.5,2,140,3,0,1,0,sales,medium
180,0.11,0.85,6,308,5,0,1,0,sales,medium
181,0.4,0.47,2,146,3,0,1,0,sales,medium
182,0.1,0.84,6,261,4,0,1,0,accounti,medium
183,0.89,0.99,5,257,5,0,1,0,accounti,medium
189,0.37,0.55,2,152,3,0,1,0,technica,medium
194,0.09,0.82,6,249,4,0,1,0,technica,medium
196,0.09,0.8,6,304,4,0,1,0,technica,low
197,0.27,0.54,7,278,3,0,1,0,technica,low
199,0.1,0.89,7,285,4,0,1,0,technica,low
204,0.1,0.93,6,256,4,0,1,0,support,low
206,0.38,0.5,2,153,3,0,1,0,support,low
208,0.78,0.87,4,228,5,0,1,0,support,low
210,0.38,0.52,2,153,3,0,1,0,support,low
211,0.43,0.46,2,156,3,0,1,0,technica,low
214,0.45,0.46,2,153,3,0,1,0,manageme,low
216,0.36,0.51,2,155,3,0,1,0,IT,low
217,0.36,0.48,2,158,3,0,1,0,IT,low
221,0.1,0.84,6,286,4,0,1,0,product_,low
229,0.85,0.95,5,236,5,0,1,0,hr,low
231,0.42,0.47,2,159,3,0,1,0,marketin,low
232,0.92,0.99,5,255,6,0,1,0,sales,low
234,0.42,0.56,2,134,3,0,1,0,support,low
235,0.48,0.57,4,270,4,0,1,0,technica,low
239,0.43,0.53,2,146,3,0,1,0,marketin,low
240,0.1,0.97,7,254,4,0,1,0,sales,low
241,0.1,0.87,7,289,4,0,1,0,sales,low
242,0.37,0.46,2,156,3,0,1,0,sales,low
244,0.4,0.5,2,128,3,0,1,0,sales,low
246,0.45,0.46,2,155,3,0,1,0,sales,low
247,0.37,0.48,2,159,3,0,1,0,sales,low
250,0.11,0.84,6,298,4,0,1,0,sales,low
251,0.79,0.87,5,261,5,0,1,0,sales,low
253,0.19,0.59,7,192,3,0,1,0,sales,low
258,0.42,0.54,2,156,3,0,1,0,sales,medium
259,0.88,0.88,5,232,5,1,1,0,accounti,medium
261,0.46,0.46,2,154,3,0,1,0,accounti,medium
265,0.42,0.5,2,139,3,0,1,0,hr,medium
267,0.11,0.95,6,286,4,0,1,0,technica,medium
270,0.38,0.86,6,139,6,0,1,0,technica,medium
273,0.81,0.93,5,270,5,0,1,0,technica,medium
276,0.81,0.95,5,238,6,0,1,0,technica,low
281,0.1,0.98,6,268,4,0,1,0,support,low
282,0.27,0.56,3,301,3,0,1,0,support,low
287,0.11,0.83,6,306,4,0,1,0,support,low
291,0.4,0.46,2,128,3,0,1,0,manageme,low
292,0.87,0.84,5,231,5,0,1,0,IT,low
294,0.11,0.91,6,308,4,1,1,0,IT,low
295,0.1,0.93,6,253,4,0,1,0,IT,medium
300,0.74,0.84,5,249,5,0,1,0,product_,medium
302,0.12,1,3,278,4,0,1,0,RandD,medium
304,0.37,0.55,2,127,3,0,1,0,RandD,medium
314,0.41,0.49,2,130,3,0,1,0,marketin,low
316,0.73,0.86,4,245,6,0,1,0,sales,low
319,0.11,0.94,6,276,4,0,1,0,sales,low
320,0.4,0.46,2,130,3,0,1,0,sales,low
329,0.1,0.85,6,266,4,0,1,0,sales,low
330,0.44,0.48,2,148,3,0,1,0,sales,low
332,0.11,0.85,7,302,4,0,1,0,sales,low
333,0.09,0.98,6,271,4,0,1,0,sales,low
337,0.77,0.87,5,266,5,0,1,0,accounti,medium
345,0.37,0.52,2,155,3,0,1,0,technica,medium
353,0.91,0.91,4,262,6,0,1,0,support,low
355,0.33,0.88,6,219,5,0,1,0,support,low
361,0.1,0.87,6,290,4,0,1,0,support,low
362,0.76,0.9,4,263,5,0,1,0,support,low
364,0.72,0.96,5,267,5,0,1,0,technica,low
365,0.4,0.5,2,141,3,1,1,0,technica,low
367,0.1,0.83,6,258,4,0,1,0,manageme,low
374,0.36,0.57,2,142,3,0,1,0,product_,medium
377,0.56,0.71,4,296,2,0,1,0,IT,medium
378,0.44,0.56,2,158,3,0,1,0,accounti,medium
380,0.77,0.93,4,231,5,0,1,0,hr,medium
382,0.38,0.46,2,145,3,0,1,0,hr,medium
384,0.38,0.51,2,159,3,0,1,0,sales,medium
388,0.1,0.97,6,247,4,0,1,0,manageme,medium
389,0.45,0.5,2,157,3,0,1,0,marketin,medium
391,0.78,1,4,253,5,0,1,0,marketin,low
401,0.91,1,5,251,6,0,1,0,sales,low
403,0.74,1,5,275,5,0,1,0,sales,low
412,0.84,0.99,4,262,6,0,1,0,accounti,medium
415,0.91,0.97,5,233,5,0,1,0,hr,medium
416,0.42,0.48,2,155,3,0,1,0,hr,medium
417,0.82,1,4,229,6,0,1,0,hr,medium
418,0.11,0.9,6,264,4,0,1,0,technica,medium
419,0.42,0.53,3,199,4,0,1,0,technica,medium
421,0.09,0.96,6,268,4,0,1,0,technica,medium
424,0.4,0.46,2,143,3,0,1,0,technica,high
428,0.55,0.6,3,180,4,0,1,0,technica,medium
434,0.87,0.84,4,264,6,0,1,0,support,low
435,0.1,0.84,6,309,4,0,1,0,support,low
437,0.11,0.85,6,261,4,0,1,0,support,low
440,0.41,0.52,2,136,3,0,1,0,technica,low
442,0.36,0.78,2,151,4,0,1,0,technica,low
446,0.09,0.94,6,283,5,0,1,0,IT,low
453,0.1,0.87,6,286,4,0,1,0,IT,medium
459,0.41,0.48,2,136,3,0,1,0,marketin,medium
460,0.4,0.48,2,137,3,0,1,0,sales,medium
462,0.43,0.5,2,137,3,0,1,0,support,medium
465,0.82,0.98,5,234,5,0,1,0,marketin,medium
470,0.41,0.52,2,159,3,0,1,0,sales,low
471,0.1,0.85,6,260,4,0,1,0,sales,low
478,0.09,0.79,6,275,4,0,1,0,sales,low
479,0.76,0.83,5,227,5,0,1,0,sales,low
480,0.11,0.96,7,277,5,0,1,0,sales,low
484,0.42,0.54,2,143,3,1,1,0,sales,low
488,0.19,1,4,192,4,0,1,0,accounti,low
492,0.39,0.51,2,151,3,0,1,0,hr,medium
498,0.59,0.49,7,263,4,0,1,0,technica,medium
501,0.91,0.84,5,265,5,0,1,0,technica,medium
502,0.66,0.57,5,161,5,0,1,0,technica,high
503,0.11,0.87,7,282,5,0,1,0,technica,low
504,0.43,0.51,2,155,3,0,1,0,technica,medium
505,0.78,0.83,4,217,6,0,1,0,support,medium
510,0.37,0.57,2,155,3,0,1,0,support,low
513,0.09,0.96,6,259,4,0,1,0,support,low
515,0.83,0.96,5,275,5,0,1,0,support,low
517,0.1,0.89,6,247,4,0,1,0,technica,low
519,0.44,0.54,2,151,3,0,1,0,manageme,low
520,0.39,0.51,2,129,3,0,1,0,IT,low
521,0.87,0.94,4,274,5,0,1,0,IT,low
531,0.4,0.56,2,137,3,0,1,0,accounti,medium
534,0.43,0.51,2,136,3,0,1,0,hr,medium
535,0.75,0.85,5,240,6,1,1,0,marketin,medium
537,0.11,0.85,6,305,4,0,1,0,accounti,medium
538,0.45,0.45,2,154,3,1,1,0,support,medium
540,0.11,0.94,7,244,4,0,1,0,manageme,medium
541,0.45,0.54,2,129,3,0,1,0,marketin,high
542,0.81,0.87,4,254,5,0,1,0,marketin,low
543,0.77,0.91,5,236,5,0,1,0,marketin,medium
555,0.43,0.53,2,150,3,0,1,0,sales,low
558,0.43,0.57,2,157,3,0,1,0,sales,low
559,0.43,0.55,2,136,3,0,1,0,sales,low
566,0.79,0.58,3,294,4,0,1,0,hr,low
572,0.73,1,4,252,5,0,1,0,technica,medium
574,0.36,0.47,2,148,3,0,1,0,technica,medium
580,0.39,0.55,2,159,3,0,1,0,technica,high
582,0.81,0.88,5,242,5,0,1,0,support,medium
584,0.44,0.56,2,145,3,0,1,0,support,medium
586,0.4,0.51,2,139,3,0,1,0,support,low
587,0.46,0.57,2,152,3,0,1,0,support,low
588,0.8,0.83,2,211,3,0,1,0,support,low
589,0.87,0.9,5,258,5,0,1,0,support,low
591,0.38,0.55,2,148,3,0,1,0,support,low
595,0.1,0.77,6,255,4,0,1,0,manageme,low
599,0.37,0.46,2,157,3,0,1,0,IT,low
600,0.11,0.92,7,307,4,0,1,0,IT,low
601,0.77,0.98,5,259,6,0,1,0,product_,low
603,0.1,0.84,7,250,4,0,1,0,product_,low
604,0.83,0.9,5,245,5,0,1,0,product_,low
608,0.11,0.88,5,250,4,0,1,0,RandD,medium
610,0.1,0.85,7,279,4,0,1,0,RandD,medium
611,0.09,0.95,7,256,4,0,1,0,marketin,medium
612,0.39,0.53,2,127,3,0,1,0,sales,medium
613,0.37,0.47,2,138,3,1,1,0,accounti,medium
617,0.39,0.49,2,144,3,0,1,0,marketin,medium
620,0.43,0.51,2,141,3,0,1,0,sales,low
623,0.1,0.55,2,247,4,0,1,0,sales,medium
627,0.44,0.49,2,145,3,0,1,0,sales,low
633,0.11,0.89,6,260,5,0,1,0,sales,low
634,0.38,0.56,2,154,3,0,1,0,sales,low
635,0.82,0.92,5,225,5,0,1,0,sales,low
638,0.43,0.52,2,147,3,0,1,0,sales,low
639,0.84,0.83,4,227,5,0,1,0,accounti,low
641,0.37,0.52,2,128,3,0,1,0,accounti,low
648,0.46,0.5,2,151,3,0,1,0,technica,medium
655,0.1,0.89,7,308,4,0,1,0,technica,medium
658,0.43,0.55,2,130,3,0,1,0,support,high
659,0.38,0.53,2,146,3,0,1,0,support,low
663,0.78,0.89,5,274,6,0,1,0,support,medium
669,0.1,0.92,6,258,4,0,1,0,technica,low
672,0.11,0.94,6,264,4,0,1,0,IT,low
675,0.46,0.5,2,157,3,0,1,0,IT,low
679,0.43,0.47,2,158,3,0,1,0,product_,low
680,0.86,1,5,229,5,0,1,0,product_,low
682,0.4,0.49,2,128,3,0,1,0,sales,low
683,0.11,0.87,7,278,4,0,1,0,sales,low
685,0.42,1,3,202,3,0,1,0,sales,medium
688,0.09,0.92,7,254,4,0,1,0,sales,medium
694,0.1,0.83,6,278,4,0,1,0,marketin,medium
696,0.35,0.99,3,236,4,0,1,0,sales,medium
698,0.11,0.8,6,306,4,0,1,0,sales,low
700,0.38,0.45,2,156,3,0,1,0,sales,medium
705,0.74,0.54,5,216,3,0,1,0,sales,low
707,0.79,0.93,4,226,5,0,1,0,sales,low
715,0.4,0.51,2,144,3,0,1,0,accounti,low
716,0.36,0.45,2,127,3,0,1,0,accounti,low
717,0.43,0.47,2,131,3,0,1,0,accounti,low
721,0.42,0.49,2,139,3,0,1,0,hr,low
725,0.45,0.56,2,146,3,0,1,0,technica,medium
727,0.45,0.46,2,153,3,1,1,0,technica,medium
734,0.38,0.45,2,129,3,0,1,0,support,medium
735,0.11,0.92,7,255,4,0,1,0,support,medium
737,0.81,0.91,4,229,5,0,1,0,support,low
738,0.42,0.56,2,143,3,0,1,0,support,medium
740,0.11,0.85,7,275,4,0,1,0,support,medium
741,0.1,0.89,7,291,4,0,1,0,support,medium
742,0.5,0.54,5,153,4,0,1,0,support,low
743,0.44,0.49,2,154,3,0,1,0,support,low
744,0.11,0.9,6,301,4,0,1,0,technica,low
749,0.4,0.5,2,127,3,0,1,0,IT,low
752,0.46,0.45,2,138,3,0,1,1,IT,low
753,0.37,0.57,2,129,3,0,1,0,product_,low
754,0.43,0.52,2,150,3,0,1,0,product_,low
767,0.75,0.81,5,227,5,0,1,0,technica,medium
769,0.1,0.84,6,293,5,0,1,0,marketin,medium
771,0.1,0.83,6,300,4,0,1,0,marketin,medium
777,0.1,0.97,6,254,5,0,1,0,sales,medium
779,0.1,0.92,7,269,4,0,1,0,sales,medium
781,0.44,0.65,3,271,4,0,1,0,sales,low
783,0.72,1,4,245,5,0,1,0,sales,low
786,0.85,0.99,5,248,5,0,1,0,sales,low
787,0.78,0.93,5,225,5,0,1,0,sales,low
790,0.1,0.92,6,243,4,1,1,0,sales,low
793,0.9,0.83,5,259,5,0,1,0,accounti,low
801,0.91,0.97,4,251,6,0,1,0,technica,low
802,0.43,0.55,2,153,3,0,1,0,technica,medium
806,0.36,0.62,4,237,2,0,1,0,technica,medium
808,0.86,1,5,227,5,0,1,0,technica,medium
810,0.11,0.97,7,310,4,0,1,0,support,medium
812,0.09,0.97,7,288,4,0,1,0,support,medium
816,0.8,0.97,4,218,5,1,1,0,support,medium
817,0.84,0.97,5,251,5,0,1,0,support,medium
827,0.1,0.93,6,269,4,0,1,0,IT,low
830,0.38,0.53,2,138,3,0,1,0,product_,low
832,0.73,1,5,274,5,0,1,0,product_,low
835,0.89,1,4,260,5,0,1,0,RandD,low
837,0.43,0.56,2,133,3,0,1,0,RandD,low
839,0.81,0.9,5,238,6,0,1,0,marketin,low
840,0.37,0.53,2,126,3,0,1,0,sales,low
841,0.36,0.56,2,138,3,0,1,0,accounti,medium
842,0.11,0.85,6,299,4,0,1,0,support,medium
843,0.1,0.85,6,254,4,0,1,0,technica,medium
844,0.66,0.47,7,156,2,0,1,0,manageme,medium
846,0.44,0.51,2,146,3,0,1,0,marketin,medium
848,0.79,0.94,5,227,6,0,1,0,sales,medium
849,0.1,0.81,6,301,4,1,1,0,sales,medium
850,0.54,0.94,6,294,3,0,1,0,sales,medium
851,0.37,0.47,2,151,3,0,1,0,sales,medium
852,0.37,0.57,2,128,3,0,1,0,sales,medium
853,0.82,0.89,5,217,5,0,1,0,sales,high
856,0.42,0.56,2,156,3,0,1,0,sales,medium
861,0.79,1,4,218,5,0,1,0,sales,low
862,0.43,0.48,2,144,3,0,1,0,sales,low
866,0.82,0.85,5,218,5,0,1,0,sales,low
871,0.39,0.56,2,126,3,0,1,0,hr,low
872,0.87,0.94,4,260,5,0,1,0,hr,low
874,0.78,1,5,220,5,0,1,0,technica,low
879,0.38,0.47,2,143,3,0,1,0,technica,low
880,0.82,0.97,5,263,5,0,1,0,technica,medium
883,0.11,0.79,6,294,4,0,1,0,technica,medium
885,0.38,0.5,2,153,3,0,1,0,support,medium
886,0.78,0.87,5,256,5,0,1,0,support,medium
889,0.11,0.83,6,295,4,0,1,0,support,medium
892,0.75,0.86,5,237,5,0,1,0,support,high
894,0.85,0.85,5,267,5,0,1,0,support,medium
896,0.1,0.79,6,294,4,0,1,0,technica,medium
897,0.44,0.56,2,134,3,0,1,0,technica,medium
898,0.3,0.56,3,309,4,1,1,0,technica,low
899,0.11,0.77,7,273,4,0,1,0,manageme,low
901,0.78,0.94,5,271,6,0,1,0,IT,low
902,0.43,0.53,2,145,3,0,1,0,IT,low
905,0.45,0.46,2,142,3,0,1,0,product_,low
907,0.1,0.78,7,286,4,0,1,0,product_,low
912,0.43,0.51,2,140,3,0,1,0,sales,low
916,0.48,0.88,3,239,3,0,1,0,sales,low
923,0.43,0.47,2,137,3,0,1,0,marketin,medium
928,0.46,0.86,2,212,4,0,1,0,sales,medium
932,0.9,0.92,5,154,4,0,1,0,sales,low
934,0.1,0.96,6,254,4,1,1,0,sales,medium
935,0.1,0.91,6,285,4,0,1,0,sales,medium
937,0.1,0.95,7,301,4,0,1,0,sales,low
939,0.1,0.89,6,246,4,0,1,0,sales,low
945,0.11,0.85,7,272,4,0,1,0,accounti,low
947,0.37,0.46,2,131,3,0,1,0,hr,low
954,0.41,0.71,4,301,5,0,1,0,technica,low
959,0.41,0.5,2,153,3,0,1,0,technica,medium
965,0.38,0.5,2,150,3,1,1,0,support,medium
968,0.85,0.92,4,275,5,0,1,0,support,medium
969,0.42,0.54,2,130,3,0,1,0,support,medium
974,0.37,0.47,2,150,3,0,1,0,technica,medium
984,0.43,0.52,2,139,3,0,1,0,product_,low
989,0.74,0.89,5,259,5,0,1,0,RandD,low
993,0.45,0.57,2,151,3,0,1,0,accounti,low
994,0.84,0.88,4,269,5,0,1,0,support,low
995,0.38,0.45,2,127,3,0,1,0,technica,low
996,0.38,0.46,2,144,3,0,1,0,manageme,low
1003,0.42,0.5,2,141,3,0,1,0,sales,medium
1007,0.4,0.47,2,151,3,0,1,0,sales,medium
1014,0.11,0.78,7,248,4,0,1,0,sales,medium
1019,0.36,0.47,2,136,3,0,1,0,accounti,low
1020,0.86,0.95,4,241,5,0,1,0,accounti,low
1024,0.42,0.57,2,159,3,0,1,0,hr,low
1025,0.42,0.47,2,129,3,0,1,0,hr,low
1027,0.46,0.53,2,129,3,0,1,0,technica,low
1028,0.09,0.9,6,287,4,0,1,0,technica,low
1029,0.88,0.89,4,275,5,0,1,0,technica,low
1032,0.11,0.93,4,295,3,0,1,0,technica,low
1034,0.42,0.56,2,158,3,0,1,0,technica,low
1035,0.1,0.86,6,266,4,1,1,0,technica,low
1039,0.89,1,4,237,5,0,1,0,support,medium
1046,0.4,0.57,2,128,3,0,1,0,support,medium
1051,0.79,1,4,229,5,1,1,0,manageme,medium
1053,0.37,0.48,2,129,3,0,1,0,IT,medium
1057,0.45,0.56,2,143,3,0,1,0,product_,low
1065,0.47,0.81,4,133,3,0,1,0,RandD,low
1066,0.43,0.52,2,142,3,0,1,0,RandD,low
1070,0.1,0.89,6,244,4,1,1,0,support,low
1073,0.53,0.95,6,205,4,0,1,0,marketin,low
1076,0.74,0.89,4,267,5,0,1,0,sales,medium
1077,0.09,0.79,6,276,4,0,1,0,sales,medium
1084,0.83,0.94,4,267,5,0,1,0,sales,medium
1086,0.77,1,4,272,5,0,1,0,sales,medium
1093,0.73,1,5,230,5,0,1,0,sales,low
1095,0.11,0.77,6,275,4,0,1,0,accounti,low
1096,0.1,0.77,7,308,4,0,1,0,accounti,low
1097,0.37,0.46,2,129,3,0,1,0,accounti,low
1099,0.42,0.48,2,132,3,0,1,0,hr,low
1106,0.37,0.49,2,130,3,0,1,0,technica,low
1111,0.09,0.82,7,267,4,0,1,0,technica,low
1113,0.09,0.82,6,251,4,0,1,0,support,low
1115,0.11,0.86,6,279,4,0,1,0,support,medium
1116,0.42,0.46,2,131,3,0,1,0,support,medium
1121,0.11,0.91,6,278,4,0,1,0,support,medium
1128,0.1,0.85,7,261,4,0,1,0,IT,medium
1130,0.11,0.93,6,290,4,0,1,0,IT,medium
1131,0.37,0.47,2,149,3,0,1,0,IT,medium
1133,0.77,0.87,4,150,4,0,1,0,product_,low
1136,0.11,0.87,6,291,4,0,1,0,product_,low
1137,0.86,0.91,5,265,5,0,1,0,IT,low
1138,0.87,0.88,5,262,6,0,1,0,sales,low
1152,0.79,0.96,4,234,5,0,1,0,marketin,low
1155,0.39,0.53,2,131,3,0,1,0,sales,medium
1156,0.11,0.89,6,301,4,0,1,0,sales,medium
1161,0.36,0.73,4,276,2,0,1,0,sales,medium
1166,0.1,0.96,6,303,4,0,1,0,sales,low
1169,0.79,0.84,5,245,5,0,1,0,sales,medium
1171,0.09,0.91,6,248,4,0,1,0,sales,low
1178,0.82,0.82,4,249,5,0,1,0,hr,low
1182,0.39,0.5,2,127,3,0,1,0,technica,low
1183,0.91,0.9,4,245,5,0,1,0,technica,low
1185,0.46,0.45,2,143,3,0,1,0,technica,low
1189,0.09,0.8,5,279,4,0,1,0,technica,low
1190,0.36,0.51,2,155,3,0,1,0,support,low
1191,0.11,0.89,6,264,4,0,1,0,support,low
1195,0.21,0.58,7,203,5,0,1,0,support,medium
1199,0.09,0.8,6,298,4,0,1,0,support,medium
1200,0.75,0.74,6,134,3,0,1,0,support,medium
1201,0.83,1,5,263,5,0,1,0,technica,medium
1208,0.81,0.98,5,237,5,0,1,0,IT,medium
1216,0.74,0.97,5,238,5,0,1,0,IT,low
1221,0.36,0.52,2,137,3,0,1,0,marketin,low
1228,0.39,0.54,2,131,3,0,1,0,marketin,low
1231,0.37,0.52,2,143,3,0,1,0,sales,medium
1235,0.42,0.49,2,145,3,0,1,0,sales,medium
1236,0.4,0.49,2,140,3,0,1,0,sales,medium
1238,0.74,0.9,4,226,5,0,1,0,sales,medium
1240,0.38,0.47,2,152,3,0,1,0,sales,medium
1248,0.09,0.94,7,247,4,0,1,0,sales,medium
1249,0.41,0.54,2,138,3,0,1,0,accounti,low
1251,0.88,0.92,4,225,5,0,1,0,accounti,low
1256,0.39,0.47,2,142,3,0,1,0,technica,low
1262,0.44,0.56,2,145,3,0,1,0,technica,low
1265,0.86,0.98,4,270,5,0,1,0,technica,low
1267,0.45,0.53,2,149,3,0,1,0,support,low
1269,0.36,0.55,2,134,3,0,1,0,support,low
1270,0.45,0.55,2,129,3,0,1,0,support,medium
1272,0.11,0.97,6,288,4,0,1,0,support,medium
1275,0.45,0.53,2,131,3,0,1,0,support,medium
1276,0.1,0.83,6,283,5,0,1,0,support,medium
1283,0.81,0.81,4,218,5,1,1,0,IT,low
1291,0.39,0.51,2,139,3,0,1,0,IT,low
1292,0.1,0.9,6,272,5,0,1,0,RandD,low
1294,0.72,1,2,240,2,0,1,0,RandD,low
1297,0.46,0.52,2,148,3,0,1,0,RandD,low
1299,0.45,0.45,2,131,3,0,1,0,sales,low
1304,0.45,0.57,2,149,3,0,1,0,marketin,low
1306,0.62,0.77,5,227,4,0,1,0,marketin,low
1307,0.11,0.93,6,276,4,0,1,0,sales,low
1309,0.09,0.94,6,266,4,0,1,0,sales,medium
1310,0.56,0.75,5,236,2,0,1,0,sales,medium
1316,0.11,0.81,6,260,4,0,1,0,sales,medium
1317,0.88,1,5,247,5,0,1,0,sales,medium
1318,0.37,0.51,2,127,3,0,1,0,sales,medium
1322,0.62,0.89,3,131,4,0,1,0,sales,low
1324,0.37,0.52,2,144,3,0,1,0,sales,medium
1325,0.76,0.82,4,254,5,1,1,0,sales,medium
1328,0.42,0.47,2,157,3,0,1,0,accounti,low
1336,0.87,0.9,3,307,5,0,1,0,technica,low
1337,0.44,0.46,2,154,3,0,1,0,technica,low
1338,0.41,0.56,2,143,3,0,1,0,technica,low
1340,0.89,0.96,5,221,5,0,1,0,technica,low
1341,0.1,0.96,6,275,4,0,1,0,technica,low
1345,0.39,0.57,2,150,3,0,1,0,support,low
1349,0.89,0.83,5,130,4,1,1,0,support,medium
1352,0.11,0.77,6,274,4,0,1,0,support,medium
1359,0.29,0.48,2,249,4,0,1,0,IT,medium
1361,0.11,0.83,6,262,5,0,1,0,IT,low
1364,0.37,0.46,2,134,3,0,1,0,product_,medium
1365,0.41,0.52,2,147,3,0,1,0,product_,medium
1369,0.41,0.52,2,132,3,0,1,0,RandD,low
1370,0.11,0.89,6,284,4,0,1,0,RandD,low
1371,0.74,0.99,5,263,5,0,1,0,RandD,low
1376,0.46,0.5,2,141,3,0,1,0,sales,low
1380,0.37,0.48,2,154,3,0,1,0,manageme,low
1382,0.9,0.84,5,221,5,0,1,0,marketin,low
1393,0.39,0.57,2,157,3,0,1,0,sales,medium
1396,0.45,0.51,2,156,3,0,1,0,sales,medium
1398,0.43,0.53,2,146,3,0,1,0,sales,medium
1403,0.84,0.86,5,240,5,0,1,0,accounti,medium
1404,0.86,0.96,5,245,6,0,1,0,accounti,medium
1406,0.39,0.57,2,130,3,0,1,0,hr,low
1407,0.15,0.62,4,257,3,0,1,0,hr,low
1408,0.81,1,4,241,5,0,1,0,hr,low
1409,0.39,0.53,2,136,3,0,1,0,hr,low
1412,0.32,0.6,2,280,4,0,1,0,technica,low
1417,0.11,0.85,6,295,4,0,1,0,technica,low
1418,0.11,0.96,6,301,5,0,1,0,technica,low
1422,0.86,0.93,5,241,5,1,1,0,support,low
1425,0.45,0.48,2,149,3,0,1,0,support,low
1427,0.36,0.55,2,138,3,0,1,0,support,medium
1431,0.43,0.52,2,156,3,0,1,0,support,medium
1433,0.91,0.99,5,265,5,1,1,0,technica,medium
1434,0.41,0.48,2,136,3,0,1,0,technica,medium
1435,0.37,0.52,2,140,3,0,1,0,manageme,medium
1438,0.4,0.53,2,155,3,0,1,0,IT,high
1439,0.1,0.89,7,285,4,0,1,0,IT,low
1440,0.76,0.99,4,253,5,1,1,0,IT,medium
1441,0.82,0.93,4,248,5,0,1,0,product_,medium
1451,0.78,0.78,4,260,5,0,1,0,RandD,low
1461,0.78,0.45,4,128,2,0,1,0,sales,low
1462,0.42,0.53,2,142,3,0,1,0,sales,low
1468,0.1,0.89,7,272,4,0,1,0,sales,medium
1470,0.4,0.65,2,296,5,0,1,0,sales,medium
1474,0.09,0.96,6,245,4,0,1,0,sales,medium
1476,0.44,0.47,2,156,3,1,1,0,sales,medium
1479,0.36,0.56,2,159,3,0,1,0,sales,medium
1483,0.09,0.77,6,310,4,0,1,0,hr,low
1487,0.11,0.97,6,260,4,0,1,0,technica,low
1497,0.1,0.85,7,259,4,0,1,0,technica,low
1504,0.4,0.46,2,155,3,0,1,0,support,medium
1507,0.4,0.51,2,160,3,0,1,0,support,medium
1509,0.88,0.88,5,248,5,0,1,0,technica,medium
1512,0.4,0.46,2,156,3,0,1,0,manageme,medium
1513,0.45,0.52,2,143,3,0,1,0,IT,medium
1514,0.84,0.93,4,250,5,0,1,0,IT,medium
